Title,Genre,Runtime,Rating
Ingrid Goes West,"Comedy,Drama",98,6.7
Cars 3,"Adventure,Animation,Comedy,Family,Sport",102,6.8
The Poughkeepsie Tapes,"Horror,Mystery,Thriller",81,6.1
Northpole: Open for Christmas,Fantasy,83,6.4
Manifesto,Drama,95,6.7
Maudie,"Biography,Drama,Romance",115,7.7
Viceroy's House,"Biography,Drama,History,News,Romance",106,6.6
A Family Man,Drama,108,6.5
Harmony,"Animation,Sci-Fi,Thriller",119,6.2
War for the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi,Thriller",140,7.5
Annabelle: Creation,"Horror,Mystery,Thriller",109,6.6
Bon Cop Bad Cop 2,"Action,Comedy,Crime",126,6.7
The Man with the Iron Heart,"Action,Biography,Thriller,War",120,6.4
68 Kill,"Comedy,Crime,Romance,Thriller",93,6.0
Girls Trip,Comedy,122,6.3
6 Days,"Action,Drama,History,Thriller",94,6.2
Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",133,7.5
Una,"Drama,Romance",94,6.2
Distance Between Dreams,"Action,Adventure,Documentary,Family,Sport",63,6.4
Cargo,"Drama,Horror,Mystery,Thriller",105,7.4
The Beguiled,"Drama,Thriller,War",93,6.4
Hired Gun,"Documentary,Music",98,7.2
Baby Driver,"Action,Crime,Music,Thriller",112,7.7
Certain Women,Drama,107,6.4
The Wizard of Lies,"Biography,Crime,Drama",133,6.8
Berlin Syndrome,"Drama,Horror,Mystery,Thriller",116,6.3
VHS Massacre: Cult Films and the Decline of Physical Media,"Comedy,Documentary,History,Horror,Sci-Fi",72,6.0
The Book of Henry,"Crime,Drama,Thriller",105,6.5
Boys in the Trees,"Drama,Horror,Thriller",112,6.3
Shock Wave,"Action,Thriller",119,6.4
A Ghost Story,"Drama,Fantasy,Romance",92,6.9
Voyage of Time: Life's Journey,"Documentary,Drama",90,6.4
Despicable Me 3,"Action,Adventure,Animation,Comedy,Family",89,6.3
Churchill,"Biography,Drama,History,Thriller,War",105,6.4
Scooby-Doo! Frankencreepy,"Adventure,Animation,Comedy,Family,Fantasy",74,6.9
Till We Meet Again,"Adventure,Drama",105,6.7
Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy",129,6.6
The Hero,"Comedy,Drama,Romance",96,6.5
The Big Sick,"Comedy,Drama,Romance",120,7.6
Throne of Elves,"Animation,Fantasy",104,6.2
Whitney: Can I Be Me,"Documentary,Music",105,6.6
Wonder Woman,"Action,Adventure,Fantasy,Sci-Fi,War",141,7.5
Mindhorn,Comedy,89,6.3
It Comes at Night,"Horror,Mystery",91,6.2
A Dark Song,"Drama,Horror",100,6.1
Don't Take Me Home,"Documentary,History,Sport",86,6.8
Band Aid,"Comedy,Drama,Music,Romance",91,6.6
Risk,Documentary,86,6.3
Captain Underpants: The First Epic Movie,"Action,Animation,Comedy,Family",89,6.2
Unlocked,"Action,Drama,Mystery,Thriller",98,6.2
Megan Leavey,"Biography,Drama,War",116,7.1
Born in China,Documentary,79,7.2
My Cousin Rachel,"Drama,Mystery,Romance",106,6.0
Lady Macbeth,"Drama,Romance",89,6.9
Life During Wartime,"Comedy,Drama",98,6.4
Williams,"Biography,Documentary,Sport",109,7.7
The Sense of an Ending,"Drama,Mystery",108,6.3
The Ottoman Lieutenant,"Drama,War",106,6.8
Guardians of the Galaxy Vol. 2,"Action,Adventure,Sci-Fi",136,7.7
Shin Godzilla,"Action,Adventure,Drama,Horror,Sci-Fi",120,6.7
The Wall,"Drama,Thriller,War",88,6.2
The Exception,"Drama,Romance,War",107,6.8
The Case for Christ,"Biography,Drama,History",112,6.1
Chuck,"Biography,Drama,Sport",98,6.5
Alien: Covenant,"Horror,Sci-Fi,Thriller",122,6.5
Boyka: Undisputed,"Action,Crime,Drama,Sport,Thriller",105,7.1
Shot Caller,"Crime,Drama,Thriller",121,7.3
Wakefield,Drama,106,6.4
King Arthur: Legend of the Sword,"Action,Adventure,Drama,Fantasy",126,6.8
Going in Style,"Comedy,Crime",96,6.6
The Hippopotamus,Comedy,89,6.4
Colossal,"Action,Comedy,Drama,Fantasy,Sci-Fi",109,6.2
The Levelling,Drama,83,6.4
A Quiet Passion,"Biography,Drama",125,6.6
Ghost in the Shell,"Action,Crime,Drama,Mystery,Sci-Fi",107,6.4
Gifted,Drama,101,7.6
The Boss Baby,"Animation,Comedy,Family,Fantasy",97,6.3
Route Irish,"Action,Drama,Thriller,War",109,6.4
The Phantom of the Opera at the Royal Albert Hall,"Drama,Music,Musical,Romance,Thriller",137,8.8
Wazir,"Action,Crime,Drama,Mystery,Thriller",103,7.2
The Promise,"Action,Drama,History",133,6.0
Free Fire,"Action,Comedy,Crime,Thriller",91,6.4
Buster's Mal Heart,"Drama,Mystery,Thriller",96,6.0
My Name Is Lenny,"Biography,Drama,Sport",91,6.9
Resident Evil: Vendetta,"Action,Adventure,Animation,Horror,Mystery",97,6.3
The Lost City of Z,"Action,Adventure,Biography,Drama,History",141,6.6
The Fate of the Furious,"Action,Adventure,Crime,Thriller",136,6.7
Their Finest,"Comedy,Drama,Romance,War",117,6.8
Black Butterfly,Thriller,93,6.1
Ghost in the Shell Arise: Border 4 - Ghost Stands Alone,"Action,Animation,Sci-Fi",59,7.3
Ghost in the Shell Arise: Border 3 - Ghost Tears,"Action,Animation,Sci-Fi",55,7.3
Extortion,"Action,Adventure,Crime,Drama,Thriller",108,6.2
Kong: Skull Island,"Action,Adventure,Fantasy,Sci-Fi",118,6.7
Rabbit Hole,"Action,Drama",91,7.0
Apprentice,Drama,115,6.5
Youth in Revolt,"Comedy,Drama,Romance",90,6.5
Gods and Generals,"Biography,Drama,History,War",219,6.3
The Zookeeper's Wife,"Biography,Drama,History,War",127,7.0
Red Dog: True Blue,"Comedy,Drama,Family,Romance",88,6.4
Alone in Berlin,"Action,Drama",103,6.4
Power Rangers,"Action,Adventure,Sci-Fi",105,6.0
The Eagle Huntress,"Adventure,Documentary,Sport",87,7.5
CHIPS,"Action,Comedy,Crime",100,6.0
Jawbone,"Action,Drama,Sport",91,6.5
The Belko Experiment,"Action,Horror,Thriller",89,6.1
Life,"Horror,Sci-Fi,Thriller",104,6.6
The Carer,"Comedy,Drama",89,6.5
Prevenge,"Comedy,Drama,Fantasy,Horror,Thriller",88,6.0
I Tawt I Taw a Puddy Tat,"Action,Animation,Comedy,Family,Musical",105,6.4
I Am Heath Ledger,"Biography,Documentary",90,7.4
The LEGO Batman Movie,"Action,Adventure,Animation,Comedy,Family",104,7.3
John Wick: Chapter 2,"Action,Crime,Thriller",122,7.5
Queen Rock Montreal & Live Aid,"Action,Music",138,8.6
Peaceful Warrior,"Drama,Romance,Sport",105,7.3
The Last Word,"Comedy,Drama",108,6.6
Swallows and Amazons,"Adventure,Drama,Family,War",96,6.2
A Cure for Wellness,"Action,Drama,Fantasy,Horror,Mystery",146,6.4
McLaren,"Action,Biography,Documentary,Drama,Sport",92,7.3
T2 Trainspotting,"Action,Drama",117,7.3
The Devil's Candy,"Action,Drama,Horror,Thriller",79,6.4
Logan,"Action,Drama,Sci-Fi,Thriller",137,8.1
M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",184,7.8
Beauty and the Beast,"Action,Family,Fantasy,Musical,Romance",129,7.2
Mean Dreams,"Action,Thriller",108,6.3
The Shack,"Action,Drama,Fantasy",132,6.3
Before I Fall,"Action,Drama,Mystery",98,6.4
Thirteen,"Action,Drama",100,6.8
Moto 8: The Movie,"Action,Sport",61,6.0
Get Out,"Action,Horror,Mystery,Thriller",104,7.7
The Great Wall,"Action,Adventure,Fantasy,Thriller",103,6.0
The Young and Prodigious T.S. Spivet,"Action,Adventure,Comedy,Drama,Family",105,7.1
The Dish,"Comedy,Drama,History",101,7.2
The Space Between Us,"Action,Adventure,Drama,Romance,Sci-Fi",120,6.4
The Death and Resurrection Show,"Documentary,Music",150,7.1
Hacker,"Action,Crime,Drama,Thriller",95,6.2
Notes on Blindness,"Action,Documentary,Drama",90,7.1
A Dog's Purpose,"Action,Adventure,Comedy,Drama,Family",100,6.9
Gold,"Action,Adventure,Drama,Thriller",120,6.7
The Age of Shadows,"Action,Drama,History,Thriller",140,7.2
Silicon Cowboys,"Documentary,History",77,6.8
Adult Life Skills,"Action,Comedy",96,6.2
Personal Shopper,"Action,Drama,Horror,Mystery,Thriller",105,6.2
La La Land,"Action,Comedy,Drama,Music,Musical",128,8.1
Kicks,"Adventure,Drama",80,6.3
The Autopsy of Jane Doe,"Horror,Mystery,Thriller",86,6.8
Leap!,"Adventure,Animation,Comedy,Family,Musical",89,6.8
Teen Titans: The Judas Contract,"Action,Adventure,Animation,Comedy,Drama",84,7.0
The Founder,"Action,Biography,Drama,History",105,7.2
Traceroute,"Biography,Comedy,Documentary,History",120,7.7
Split,"Action,Horror,Thriller",117,7.3
Brimstone,"Action,Horror,Mystery,Thriller,Western",148,7.1
Lion,"Biography,Drama",118,8.1
Hidden Figures,"Biography,Drama,History",127,7.8
Paterson,"Action,Comedy,Drama,Romance",118,7.4
A United Kingdom,"Biography,Drama,Romance",111,6.8
Rogue One: A Star Wars Story,"Action,Adventure,Sci-Fi",133,7.8
Patriots Day,"Action,Crime,Drama,History,Thriller",133,7.4
Why Him?,"Action,Comedy",111,6.2
Silence,"Action,Adventure,Drama,History",161,7.2
20th Century Women,"Action,Comedy,Drama",119,7.4
The Love Witch,"Comedy,Horror,Romance",120,6.2
Live by Night,"Action,Crime,Drama,Thriller",129,6.4
Sing,"Action,Animation,Comedy,Family,Music",108,7.1
Miss Sloane,"Drama,Thriller",132,7.5
Christine,"Biography,Drama",119,6.9
Fences,"Action,Drama",139,7.2
Passengers,"Action,Adventure,Drama,Romance,Sci-Fi",116,7.0
A Street Cat Named Bob,"Biography,Comedy,Drama,Family",103,7.4
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",133,7.4
Collateral Beauty,"Action,Drama,Romance",97,6.8
"I, Daniel Blake","Action,Drama",100,7.9
Jackie,"Biography,Drama,History",100,6.7
