Title,Rating,Genre,Runtime
The Killing Kind,6.1,"Crime, Drama, Horror",95 min
Una mujer prohibida,4.4,"Crime, Drama",87 min
Man - Woman Wanted,7.5,Comedy,82 min
Showdown,5.9,"Drama, Western",99 min
#DUPE#,N/A,N/A,N/A
Born Free,7.0,"Adventure, Family",60 min
Actorul si salbaticii,8.7,"Comedy, Drama, Family",150 min
Born Innocent,6.2,Drama,98 min
Cuando los niños vienen de Marsella,4.0,"Comedy, Musical",105 min
Gangsterfilmen,6.3,"Crime, Drama",105 min
Invasion from Inner Earth,2.7,"Drama, Horror, Sci-Fi",94 min
"Malteses, burgueses e às vezes...",5.1,"Adventure, Comedy, Crime",95 min
Once,6.2,Fantasy,100 min
El reprimido,4.1,Comedy,91 min
Summer Run,N/A,Drama,96 min
Superwheels,4.8,Comedy,96 min
Doc,6.9,Comedy,30 min
Am Ende der Welt,6.4,"Drama, War",100 min
Catherine & Co.,5.3,"Comedy, Drama",100 min
Drei Bayern in Bangkok,4.1,Comedy,72 min
Halfon Hill Doesn't Answer,8.0,Comedy,92 min
Het jaar van de kreeft,6.3,"Drama, Romance",91 min
The Loves and Times of Scaramouche,4.0,Comedy,95 min
The Nickel Ride,6.6,"Crime, Drama",99 min
Puerto Colombia,N/A,N/A,N/A
The Specialists,4.5,Drama,73 min
Viva Baja,N/A,"Documentary, Short",11 min
Happy Ever After,6.8,Comedy,30 min
Nick the Sting,5.9,"Action, Crime, Thriller",97 min
"Call Me Angel, Sir",4.2,Adult,73 min
Disco Godfather,5.2,"Action, Crime, Drama",98 min
Francis Gary Powers: The True Story of the U-2 Spy Incident,6.8,"Biography, Drama, History",120 min
Independence,6.4,"Drama, Short",30 min
The Tenant,7.6,"Drama, Thriller",126 min
Más allá del deseo,N/A,Drama,93 min
Police Python 357,6.9,"Crime, Drama, Thriller",126 min
Silent Movie,6.7,Comedy,87 min
Trás-os-Montes,7.1,Drama,108 min
Unknown,N/A,N/A,N/A
Adelbert,7.4,"Short, Drama",32 min
Black Oak Conspiracy,5.7,"Action, Drama",92 min
#DUPE#,N/A,N/A,N/A
#DUPE#,N/A,N/A,N/A
House of Men,8.3,Romance,60 min
The Lady and the Lynchings,N/A,N/A,N/A
México Norte,6.8,"Drama, Romance",111 min
Poedinok v tayge,5.7,"Action, History",66 min
